Train,Time_Steps,Extrinsic Reward,Extrinsic Reward Rate,Critic_Loss,Actor_loss,Curiosity_Loss,Forward_Loss,Inverse_Loss
Train,348160,10.0,0.001953125,0.20369537,-0.02070539,2.70866,0.0014948441,2.7071648
Train,353280,10.0,0.001953125,0.15814395,-0.17211805,2.7092712,0.0015011419,2.70777
Train,358400,60.0,0.01171875,0.88297635,0.2491732,2.7091591,0.0014669754,2.7076921
Train,363520,40.0,0.0078125,0.55260116,0.14915313,2.709132,0.0014151848,2.707717
Train,368640,50.0,0.009765625,0.75481737,0.07359414,2.709314,0.0014002029,2.707914
Train,373760,50.0,0.009765625,0.89584273,0.45249492,2.708796,0.001395598,2.7074003
Train,378880,40.0,0.0078125,0.34925833,-0.117466494,2.70888,0.001379253,2.707501
Train,384000,60.0,0.01171875,0.78028387,0.21049502,2.709335,0.0013453795,2.7079897
Train,389120,10.0,0.001953125,0.18916248,0.037822895,2.708801,0.0013163248,2.7074845
Train,394240,20.0,0.00390625,0.3713731,0.07206978,2.7089462,0.0012990234,2.707647
Train,399360,20.0,0.00390625,0.25932717,0.020222655,2.7094123,0.0012824939,2.70813
Train,404480,70.0,0.013671875,1.0875427,0.4817565,2.7082987,0.0012775619,2.7070212
Train,409600,50.0,0.009765625,0.55612177,0.18674783,2.7086816,0.0012699906,2.7074115
Train,414720,80.0,0.015625,1.0068094,0.39704853,2.7087705,0.0012438555,2.707527
Train,419840,80.0,0.015625,1.162129,0.45479402,2.7086697,0.0012469965,2.7074225
Train,424960,20.0,0.00390625,0.073503725,-0.20844603,2.7083657,0.0012054099,2.7071602
Train,430080,20.0,0.00390625,0.3286635,0.008445896,2.708818,0.0011669293,2.707651
Train,435200,50.0,0.009765625,0.769882,0.10793319,2.7083185,0.0011500258,2.7071683
Train,440320,20.0,0.00390625,0.24926941,-0.20830366,2.7078595,0.0011393159,2.70672
Train,445440,0.0,0.0,0.06172625,-0.33024725,2.7089667,0.0011271102,2.7078397
Train,450560,60.0,0.01171875,0.7350278,0.089579746,2.7075508,0.0011181027,2.706433
Train,455680,30.0,0.005859375,0.41960087,-0.013737889,2.7080498,0.0011043579,2.7069452
Train,460800,20.0,0.00390625,0.38601586,0.045723684,2.7089412,0.0010845825,2.7078564
Train,465920,40.0,0.0078125,0.6227936,0.205191,2.707915,0.0010691494,2.706846
Train,471040,50.0,0.009765625,0.79194707,0.345688,2.7083344,0.0010482766,2.7072861
Train,476160,60.0,0.01171875,0.8108039,0.36420476,2.7082813,0.0010141749,2.707267
Train,481280,30.0,0.005859375,0.39750013,0.10707672,2.708535,0.0009859222,2.7075493
Train,486400,30.0,0.005859375,0.2559548,-0.040896673,2.7080886,0.0009894654,2.7070992
Train,491520,60.0,0.01171875,0.97304004,0.4895755,2.7085721,0.00096740184,2.7076046
Train,496640,10.0,0.001953125,0.20859908,0.013314504,2.70752,0.0009360675,2.7065837
Train,501760,90.0,0.017578125,1.4505434,0.61700004,2.7079544,0.0009216169,2.7070327
Train,506880,50.0,0.009765625,0.8546398,0.29116267,2.7070148,0.0009103225,2.7061043
Train,512000,30.0,0.005859375,0.48275718,0.045273725,2.7071526,0.000889219,2.7062633
Train,517120,20.0,0.00390625,0.1997335,-0.20618376,2.7073612,0.00087824196,2.7064831
Train,522240,40.0,0.0078125,0.73457044,0.07421745,2.7070112,0.0008521459,2.7061594
Train,527360,90.0,0.017578125,1.2272894,0.17940523,2.707629,0.0008535563,2.7067754
Train,532480,20.0,0.00390625,0.30438098,-0.0011502244,2.7072542,0.00084338133,2.706411
Train,537600,40.0,0.0078125,0.54911804,0.27079764,2.7076168,0.00083800557,2.7067788
Train,542720,50.0,0.009765625,0.6342788,0.2551423,2.7073724,0.0008231668,2.7065494
Train,547840,90.0,0.017578125,1.0998843,0.25337535,2.707033,0.00078971434,2.7062433
Train,552960,60.0,0.01171875,0.78175324,0.30471653,2.7071157,0.0007803468,2.706335
Train,558080,40.0,0.0078125,0.6210729,0.11844073,2.7065265,0.0007764096,2.70575
Train,563200,70.0,0.013671875,0.8011718,0.32075006,2.707071,0.000771897,2.7062988
Train,568320,50.0,0.009765625,0.6910654,0.14446189,2.7073495,0.0007910393,2.7065585
Train,573440,60.0,0.01171875,0.984997,0.24065039,2.7052755,0.00074999547,2.7045257
Train,578560,60.0,0.01171875,0.7203074,0.25571966,2.706254,0.00075115584,2.7055027
Train,583680,50.0,0.009765625,0.6245412,0.056575935,2.7057884,0.0007095593,2.7050788
Train,588800,40.0,0.0078125,0.41666827,-0.21057497,2.7065823,0.000690368,2.7058918
Train,593920,80.0,0.015625,0.8489229,0.14412442,2.7053428,0.00069683214,2.7046459
Train,599040,20.0,0.00390625,0.1419481,-0.28301334,2.7063878,0.00072172657,2.7056663
Train,604160,60.0,0.01171875,0.9314189,0.30216035,2.7052524,0.0007072009,2.7045457
Train,609280,80.0,0.015625,0.9970729,0.29587507,2.7059846,0.0007205244,2.7052639
Train,614400,70.0,0.013671875,0.91639704,0.16053437,2.705493,0.00078226294,2.7047107
Train,619520,70.0,0.013671875,1.0504278,0.5066219,2.7052782,0.00075053814,2.7045276
Train,624640,60.0,0.01171875,0.9687565,0.45786506,2.7059464,0.0007496976,2.7051969
Train,629760,90.0,0.017578125,1.2219094,0.41038767,2.7062929,0.000776197,2.7055166
Train,634880,60.0,0.01171875,0.87119406,0.34166825,2.7047594,0.0007651603,2.7039945
Train,640000,60.0,0.01171875,0.99061126,0.378197,2.7052639,0.00079200976,2.7044718
Train,645120,80.0,0.015625,1.1131626,0.25732926,2.7047024,0.0008231992,2.703879
Train,650240,100.0,0.01953125,1.2423757,0.273739,2.7041042,0.00082705234,2.7032769
Train,655360,50.0,0.009765625,0.54767734,-0.28819692,2.7045035,0.0008028554,2.7037008
Train,660480,30.0,0.005859375,0.43475294,0.081302725,2.7045116,0.0008471531,2.7036645
Train,665600,80.0,0.015625,0.74425334,-0.0687449,2.7047594,0.00083837286,2.7039208
Train,670720,70.0,0.013671875,0.7559008,0.024340907,2.7036064,0.0008438468,2.7027626
Train,675840,60.0,0.01171875,0.656356,0.02420848,2.7032533,0.0008680794,2.7023854
Train,680960,90.0,0.017578125,1.3748457,0.6440414,2.7035425,0.0009389794,2.7026033
Train,686080,80.0,0.015625,0.9396418,0.29197764,2.703819,0.0010394364,2.7027795
Train,691200,60.0,0.01171875,0.72570443,-0.07282223,2.7025814,0.0010068886,2.7015743
Train,696320,30.0,0.005859375,0.33875406,-0.049064107,2.7024682,0.0010339477,2.7014344
Train,701440,100.0,0.01953125,1.3762903,0.41453835,2.7024057,0.0012487147,2.701157
Train,706560,60.0,0.01171875,0.5423919,0.06495299,2.702017,0.0013441452,2.7006729
Train,711680,60.0,0.01171875,0.6369965,0.16042857,2.7024028,0.001383718,2.701019
