"Type	Time_Steps	Total_Rewards	Reward_Rate	Critic_Loss	Actor_Loss	Total_Loss",,,
Test,0,20,0.00390625
Train,5120,20,0.00390625
Test,5120,30,0.005859375
Train,10240,40,0.0078125
Test,10240,10,0.001953125
Train,15360,50,0.009765625
Test,15360,10,0.001953125
Train,20480,80,0.015625
Test,20480,20,0.00390625
Train,25600,60,0.01171875
Test,25600,40,0.0078125
Train,30720,110,0.021484375
Test,30720,30,0.005859375
Train,35840,100,0.01953125
Test,35840,10,0.001953125
Train,40960,110,0.021484375
Test,40960,30,0.005859375
Train,46080,90,0.017578125
Test,46080,30,0.005859375
Train,51200,140,0.02734375
Test,51200,10,0.001953125
Train,56320,100,0.01953125
Test,56320,50,0.009765625
Train,61440,180,0.03515625
Test,61440,70,0.013671875
Train,66560,240,0.046875
Test,66560,70,0.013671875
Train,71680,210,0.041015625
Test,71680,150,0.029296875
Train,76800,240,0.046875
Test,76800,60,0.01171875
Train,81920,230,0.044921875
Test,81920,100,0.01953125
Train,87040,220,0.04296875
Test,87040,110,0.021484375
Train,92160,240,0.046875
Test,92160,220,0.04296875
Train,97280,270,0.052734375
Test,97280,170,0.033203125
Train,102400,210,0.041015625
Test,102400,190,0.037109375
Train,107520,300,0.05859375
Test,107520,240,0.046875
Train,112640,260,0.05078125
Test,112640,300,0.05859375
Train,117760,230,0.044921875
Test,117760,210,0.041015625
Train,122880,230,0.044921875
Test,122880,220,0.04296875
Train,128000,310,0.060546875
Test,128000,160,0.03125
Train,133120,210,0.041015625
Test,133120,280,0.0546875
Train,138240,230,0.044921875
Test,138240,180,0.03515625
Train,143360,210,0.041015625
Test,143360,250,0.048828125
Train,148480,270,0.052734375
Test,148480,230,0.044921875
Train,153600,300,0.05859375
Test,153600,280,0.0546875
Train,158720,280,0.0546875
Test,158720,260,0.05078125
Train,163840,330,0.064453125
Test,163840,230,0.044921875
Train,168960,260,0.05078125
Test,168960,250,0.048828125
Train,174080,310,0.060546875
Test,174080,300,0.05859375
Train,179200,260,0.05078125
Test,179200,230,0.044921875
Train,184320,190,0.037109375
Test,184320,250,0.048828125
Train,189440,260,0.05078125
Test,189440,260,0.05078125
Train,194560,290,0.056640625
Test,194560,170,0.033203125
Train,199680,310,0.060546875
Test,199680,270,0.052734375
Train,204800,410,0.080078125
Test,204800,230,0.044921875
Train,209920,350,0.068359375
Test,209920,250,0.048828125
Train,215040,240,0.046875
Test,215040,330,0.064453125
Train,220160,270,0.052734375
Test,220160,280,0.0546875
Train,225280,290,0.056640625
Test,225280,320,0.0625
Train,230400,420,0.08203125
Test,230400,320,0.0625
Train,235520,280,0.0546875
Test,235520,230,0.044921875
Train,240640,330,0.064453125
Test,240640,280,0.0546875
Train,245760,350,0.068359375
Test,245760,270,0.052734375
Train,250880,300,0.05859375
Test,250880,260,0.05078125
Train,256000,290,0.056640625
Test,256000,250,0.048828125
Train,261120,280,0.0546875
Test,261120,260,0.05078125
Train,266240,260,0.05078125
Test,266240,300,0.05859375
Train,271360,310,0.060546875
Test,271360,270,0.052734375
Train,276480,260,0.05078125
Test,276480,250,0.048828125
Train,281600,310,0.060546875
Test,281600,240,0.046875
Train,286720,270,0.052734375
Test,286720,170,0.033203125
Train,291840,230,0.044921875
Test,291840,330,0.064453125
Train,296960,240,0.046875
Test,296960,300,0.05859375
Train,302080,350,0.068359375
Test,302080,280,0.0546875
Train,307200,250,0.048828125
Test,307200,270,0.052734375
Train,312320,290,0.056640625
Test,312320,280,0.0546875
Train,317440,280,0.0546875
Test,317440,310,0.060546875
Train,322560,240,0.046875
Test,322560,280,0.0546875
Train,327680,340,0.06640625
Test,327680,260,0.05078125
Train,332800,240,0.046875
Test,332800,360,0.0703125
Train,337920,320,0.0625
Test,337920,280,0.0546875
Train,343040,350,0.068359375
Test,343040,370,0.072265625
Train,348160,340,0.06640625
Test,348160,310,0.060546875
Train,353280,280,0.0546875
Test,353280,320,0.0625
Train,358400,320,0.0625
Test,358400,300,0.05859375
Train,363520,270,0.052734375
Test,363520,340,0.06640625
Train,368640,270,0.052734375
Test,368640,330,0.064453125
Train,373760,210,0.041015625
