Type,Time_Steps,Total_Rewards,Reward_Rate
Test - Datasize: 5000,650000,460.0,0.092
Train - Datasize: 10000 ,660000,1060.0,0.106
Test - Datasize: 5000,660000,610.0,0.122
Train - Datasize: 10000 ,670000,1120.0,0.112
Test - Datasize: 5000,670000,560.0,0.112
Train - Datasize: 10000 ,680000,1220.0,0.122
Test - Datasize: 5000,680000,640.0,0.128
Train - Datasize: 10000 ,690000,1140.0,0.114
Test - Datasize: 5000,690000,760.0,0.152
Train - Datasize: 10000 ,700000,1040.0,0.104
Test - Datasize: 5000,700000,620.0,0.124
Train - Datasize: 10000 ,710000,1100.0,0.11
Test - Datasize: 5000,710000,520.0,0.104
Train - Datasize: 10000 ,720000,870.0,0.087
Test - Datasize: 5000,720000,520.0,0.104
Train - Datasize: 10000 ,730000,930.0,0.093
Test - Datasize: 5000,730000,590.0,0.118
Train - Datasize: 10000 ,740000,1010.0,0.101
Test - Datasize: 5000,740000,500.0,0.1
Train - Datasize: 10000 ,750000,1160.0,0.116
Test - Datasize: 5000,750000,580.0,0.116
Train - Datasize: 10000 ,760000,1000.0,0.1
Test - Datasize: 5000,760000,490.0,0.098
Train - Datasize: 10000 ,770000,1230.0,0.123
Test - Datasize: 5000,770000,570.0,0.114
Train - Datasize: 10000 ,780000,1080.0,0.108
Test - Datasize: 5000,780000,430.0,0.086
Train - Datasize: 10000 ,790000,1090.0,0.109
Test - Datasize: 5000,790000,540.0,0.108
Train - Datasize: 10000 ,800000,1210.0,0.121
Test - Datasize: 5000,800000,550.0,0.11
Train - Datasize: 10000 ,810000,980.0,0.098
Test - Datasize: 5000,810000,450.0,0.09
Train - Datasize: 10000 ,820000,920.0,0.092
Test - Datasize: 5000,820000,490.0,0.098
Train - Datasize: 10000 ,830000,970.0,0.097
Test - Datasize: 5000,830000,580.0,0.116
Train - Datasize: 10000 ,840000,830.0,0.083
Test - Datasize: 5000,840000,570.0,0.114
Train - Datasize: 10000 ,850000,990.0,0.099
Test - Datasize: 5000,850000,530.0,0.106
Train - Datasize: 10000 ,860000,980.0,0.098
Test - Datasize: 5000,860000,580.0,0.116
Train - Datasize: 10000 ,870000,1090.0,0.109
Test - Datasize: 5000,870000,530.0,0.106
Train - Datasize: 10000 ,880000,1200.0,0.12
Test - Datasize: 5000,880000,510.0,0.102
Train - Datasize: 10000 ,890000,1120.0,0.112
