Type,Time_Steps,Total_Rewards,Reward_Rate,Critic_Loss,Actor_Loss,Total_Loss
Test,332800,310,0.060546875,,,
Train,337920,290,0.056640625,2.0933998,0.15642896,2.2498288
Test,337920,230,0.044921875,,,
Train,343040,270,0.052734375,2.3769193,0.36078563,2.737705
Test,343040,290,0.056640625,,,
Train,348160,180,0.03515625,1.024278,-0.045349754,0.97892827
Test,348160,330,0.064453125,,,
Train,353280,270,0.052734375,1.9664372,0.1572807,2.123718
Test,353280,220,0.04296875,,,
Train,358400,260,0.05078125,1.747826,0.25237662,2.0002027
Test,358400,300,0.05859375,,,
Train,363520,260,0.05078125,1.859745,0.3249288,2.1846738
Test,363520,250,0.048828125,,,
Train,368640,280,0.0546875,2.1770947,0.4505492,2.6276438
Test,368640,310,0.060546875,,,
Train,373760,210,0.041015625,1.5958974,0.19303,1.7889274
Test,373760,240,0.046875,,,
Train,378880,280,0.0546875,2.3773065,0.45910686,2.8364134
Test,378880,300,0.05859375,,,
Train,384000,250,0.048828125,2.0483778,0.32320112,2.371579
Test,384000,170,0.033203125,,,
Train,389120,290,0.056640625,2.4949796,0.51687354,3.0118532
Test,389120,230,0.044921875,,,
Train,394240,220,0.04296875,1.598634,0.00365375,1.6022878
Test,394240,190,0.037109375,,,
Train,399360,210,0.041015625,1.4032406,-0.1242103,1.2790303
Test,399360,250,0.048828125,,,
Train,404480,240,0.046875,2.1009855,0.19981398,2.3007996
Test,404480,330,0.064453125,,,
Train,409600,270,0.052734375,1.635405,0.06647096,1.7018759
Test,409600,200,0.0390625,,,
Train,414720,210,0.041015625,1.8036082,0.46220925,2.2658174
Test,414720,290,0.056640625,,,
Train,419840,210,0.041015625,1.3569645,0.33752304,1.6944876
Test,419840,240,0.046875,,,
Train,424960,230,0.044921875,2.0035846,0.58847386,2.5920584
Test,424960,240,0.046875,,,
Train,430080,230,0.044921875,1.5159956,0.20587894,1.7218746
Test,430080,360,0.0703125,,,
Train,435200,300,0.05859375,2.1482902,0.39407077,2.542361
Test,435200,350,0.068359375,,,
Train,440320,250,0.048828125,1.9445771,0.25564384,2.200221
Test,440320,290,0.056640625,,,
Train,445440,260,0.05078125,1.9436817,0.08487187,2.0285535
Test,445440,320,0.0625,,,
Train,450560,190,0.037109375,1.1955938,-0.21181145,0.9837824
Test,450560,270,0.052734375,,,
Train,455680,310,0.060546875,2.6492984,0.3280745,2.977373
Test,455680,250,0.048828125,,,
Train,460800,290,0.056640625,2.7304525,0.41771328,3.1481657
Test,460800,240,0.046875,,,
Train,465920,310,0.060546875,2.4834926,0.22064047,2.704133
